Any,Ambit,Titularitat,Entitat,TipusEquipament,UsosFuncionals,Equipament,Districte,Latitud,Longitud,Web,Sala,Espectacles,Nota
2016,"Arts escèniques",Privada,Mangandango,"Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Almeria Teatre","06. Gràcia",41.406091398,2.161404860,http://www.almeriateatre.com,"Almeria Teatre",16,
2016,"Arts escèniques",Privada,"Diverses entitats","Sales d'arts escèniques","Espais de representacions escèniques","Altres espais escènics","Diversos districtes",,,,"Altres espais escènics",7,
2016,"Arts escèniques",Privada,"Antic Teatre","Sales d'arts escèniques","Sales d'arts escèniques de - 200 butaques","Antic Teatre","01. Ciutat Vella",41.387137228,2.175892194,http://www.anticteatre.com,"Antic Teatre",71,
2016,"Arts escèniques",Privada,"Paralelos Musicales SL","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","BARTS. Barcelona Arts on Stage","01. Ciutat Vella",,,,Barts,16,
2016,"Arts escèniques",Privada,"Paralelos Musicales SL","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","BARTS. Barcelona Arts on Stage","01. Ciutat Vella",,,,"Barts. Espai Club",11,
2016,"Arts escèniques","Pública no municipal","Generalitat de Catalunya",Biblioteques,"Sales d'arts escèniques de + 200 butaques","Biblioteca de Catalunya","01. Ciutat Vella",41.381057325,2.169793714,http://www.bnc.cat,"Biblioteca de Catalunya",5,
2016,"Arts escèniques",Privada,"Grup Balaña","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Club Capitol","01. Ciutat Vella",,,https://www.grupbalana.com,"Club Capitol (Sala 2)",10,
2016,"Arts escèniques",Privada,"Grup Balaña","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Club Capitol","01. Ciutat Vella",,,https://www.grupbalana.com,"Club Capitol (Sala Pepe Rubianes)",31,
2016,"Arts escèniques",Privada,"Metropolitan, S.A.","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques",Coliseum,"01. Ciutat Vella",41.388275,2.166088,https://www.grupbalana.com,Coliseum,9,
2016,"Arts escèniques",Privada,"Guasch Teatre","Sales d'arts escèniques","Sales d'arts escèniques de + 200 butaques","Eixample Teatre","02. Eixample",41.385343,2.155808,http://www.guaschteatre.com,"Eixample Teatre",11,
