coordinates0;coordinates2;Time;Event;id;category
41.380745;2.180764;1542218400000;The Wednesday Language Exchange;jspqvpyxpbsb;Arts & Culture
41.379192;2.150331;1542222000000;Microteatro en Hotel chic&basic Velvet + cerveza o vino :);256240262;Arts & Culture
41.393017;2.171074;1542227400000;Creative Night  Open Mic  After Work Drink & Music # 6;256187926;Arts & Culture
41.385925;2.166808;1542304800000;Let's Get Creative Together!;dhxggqyxpbdc;Arts & Culture
41.39187;2.154552;1542308400000;The Thursday Language Exchange;knghbqyxpbtb;Arts & Culture
41.38676;2.182401;1542308400000;Experiencia microteatro en Hotel chic&basic Born. ;256240366;Arts & Culture
None;None;1542351600000;EVENTO COMPLETO!!.FIN DE SEMANA. Nos vamos a PARIS!!;253780590;Arts & Culture
41.38469;2.170371;1542391200000;Ruta Mujeres Olvidadas (Raval);256127479;Arts & Culture
41.402946;2.147211;1542393000000;LABORATORIO TEATRALE IN ITALIANO;256327224;Arts & Culture
41.384483;2.184863;1542394800000;The Friday Language Exchange;ltcsjqyxpbvb;Arts & Culture
41.38615;2.169237;1542448800000;Ruta Paseo por Vallvidrera;256373626;Arts & Culture
41.397896;2.150118;1542466800000;2o Taller Escritura Itálica.;255582924;Arts & Culture
41.402946;2.147211;1542470400000;ENCUENTRO TEATRAL;256325323;Arts & Culture
None;None;1542470400000;Clay  Cava and Create;wgjmtpyxpbwb;Arts & Culture
41.37497;2.165028;1542482100000;TEATRE: “24 hores de la vida d'una dona” de Stefan Zweig ;256356110;Arts & Culture
41.37134;2.149577;1542553200000;TOULOUSE-LAUTREC Y EL ESPÍRITU DE MONTMARTRE  exposición comentada en CaixaForum;256367370;Arts & Culture
41.38493;2.180408;1542556800000;Artist Weekend At MEAM ;256350615;Arts & Culture
41.37981;2.164088;1542562200000;Jam session de Pop/Rock/Blues;256361645;Arts & Culture
41.383152;2.17696;1542563100000;Domingo de Barcelona Comedy Club;256318127;Arts & Culture
41.385063;2.173404;1542736800000;AFTERWORK - PAINT - RELAX;255478541;Arts & Culture
41.384502;2.157518;1542742200000;L'habitació del costat;253542546;Arts & Culture
41.380745;2.180764;1542823200000;The Wednesday Language Exchange;jspqvpyxpbcc;Arts & Culture
41.398808;2.155861;1542823200000;Colaboración COFFEEWOMAN. Mírate con amor ¡te lo mereces!;256185095;Arts & Culture
41.405888;2.160354;1542828600000;Tardes de Microteatro y Copas;256266539;Arts & Culture
41.39187;2.154552;1542913200000;The Thursday Language Exchange;knghbqyxpbdc;Arts & Culture
41.385914;2.170716;1542996000000;Ruta Historias de las Ramblas;256265171;Arts & Culture
41.384483;2.184863;1542999600000;The Friday Language Exchange;ltcsjqyxpbfc;Arts & Culture
41.403236;2.14591;1543001400000;Carola;255482423;Arts & Culture
41.375645;2.154528;1543003200000;Social WINE TASTING for beginners 🍇 🍷;256302795;Arts & Culture
41.38783;2.176938;1543051800000;REBECCA LYNE INTENSIVE WORKSHOPS;256348267;Arts & Culture
41.39266;2.158931;1543051800000;COFFEE & PAINT – with Eva Martinez Olalla;255261509;Arts & Culture
41.385735;2.172878;1543053600000;Ruta Mujeres Olvidadas (Gótico);255402551;Arts & Culture
41.383286;2.164645;1543054500000;Colaboración Coffeewoman. Taller de la Mujer cíclica: Arquetipos femeninos;255906285;Arts & Culture
41.405888;2.160354;1543071600000;13th SketchBomb Barcelona;256339937;Arts & Culture
41.382557;2.165397;1543080600000;¡CINEMASACRE proyecta una película sorpresa!;256203266;Arts & Culture
41.38396;2.176199;1543159800000;NUEVA RUTA Gótico Enmascarado;256126993;Arts & Culture
41.380745;2.180764;1543428000000;The Wednesday Language Exchange;jspqvpyxpblc;Arts & Culture
41.39187;2.154552;1543518000000;The Thursday Language Exchange;knghbqyxpbmc;Arts & Culture
41.377594;2.178825;1543600800000;OPEN CALL// Convocatoria abierta  para Artistas// Cabaret de Arte;255476095;Arts & Culture
41.385914;2.170716;1543600800000;RUTA Gótico 5 SENTIDOS!;256127514;Arts & Culture
None;None;1543600800000;DISFRUTAR Y CREAR;mjtpgpyxpbnc;Arts & Culture
41.393623;2.157959;1543604400000;The Friday Language Exchange - OAK Edition;ltcsjqyxpbnc;Arts & Culture
41.33995;2.041739;1543647600000;Caminos de ronda de la Costa Brava: Llançà - Port de la Selva;255752395;Arts & Culture
41.374428;2.172253;1543660200000;Sketching Barcelona! - Jardins de les Tres Xemeneies;256234665;Arts & Culture
41.380745;2.180764;1544032800000;The Wednesday Language Exchange;jspqvpyxqbhb;Arts & Culture
41.38615;2.169237;1544090400000;FESTIVO!! Ruta Paseo por Vallvidrera;256126988;Arts & Culture
41.39187;2.154552;1544122800000;The Thursday Language Exchange;knghbqyxqbjb;Arts & Culture
41.38396;2.176199;1544205600000;NUEVA RUTA Gótico Enmascarado;256265186;Arts & Culture
41.384483;2.184863;1544209200000;The Friday Language Exchange;ltcsjqyxqbkb;Arts & Culture
41.383495;2.181785;1544263200000;F.C. Barcelona y su ciudad;256282419;Arts & Culture
41.385914;2.170716;1544263200000;Ruta Historias de las Ramblas;256127353;Arts & Culture
41.385063;2.173404;1544349600000;NUEVA RUTA. Laberinto de Horta y sus Secretos;256126974;Arts & Culture
41.38469;2.170371;1544371200000;Ruta Mujeres Olvidadas (Raval);256130961;Arts & Culture
41.380745;2.180764;1544637600000;The Wednesday Language Exchange;jspqvpyxqbqb;Arts & Culture
41.39187;2.154552;1544727600000;The Thursday Language Exchange;knghbqyxqbrb;Arts & Culture
41.384483;2.184863;1544814000000;The Friday Language Exchange;ltcsjqyxqbsb;Arts & Culture
41.380745;2.180764;1545242400000;The Wednesday Language Exchange;jspqvpyxqbzb;Arts & Culture
41.39187;2.154552;1545332400000;The Thursday Language Exchange;knghbqyxqbbc;Arts & Culture
41.384483;2.184863;1545418800000;The Friday Language Exchange;ltcsjqyxqbcc;Arts & Culture
41.380745;2.180764;1545847200000;The Wednesday Language Exchange;jspqvpyxqbjc;Arts & Culture
41.39187;2.154552;1545937200000;The Thursday Language Exchange;knghbqyxqbkc;Arts & Culture
41.384483;2.184863;1546023600000;The Friday Language Exchange;ltcsjqyxqblc;Arts & Culture
41.3768;2.176556;1546099200000;NUEVA RUTA. Ruta Barcelona Mágica;256387043;Arts & Culture
41.3768;2.176556;1546099200000;Ruta Barcelona Mágica;256172375;Arts & Culture
41.384483;2.184863;1546628400000;The Friday Language Exchange;ltcsjqyzcbgb;Arts & Culture
41.399776;2.185981;1548003600000;Afanys d'amor perduts;256011670;Arts & Culture
41.3703;2.157492;1548525600000;Saigon (en francès i vietnamita amb sobretítols);252333056;Arts & Culture
41.3703;2.157492;1549049400000;Un amour impossible (en français avec des surtitres);252332949;Arts & Culture
41.399776;2.185981;1552676400000;La bona persona de Sezuan;256011910;Arts & Culture
41.399612;2.186245;1555092000000;El Jardín de los Cerezos;251479342;Arts & Culture
41.38988;2.170694;1542391200000;Presentació de El tumor  de Toni Soler;256205699;Book Clubs
41.38179;2.163315;1542448800000;Free Book Discussion Club;mlgslqyxpbwb;Book Clubs
41.38977;2.165074;1542448800000;Club lectura Casa del Llibre: "La nieta del Señor Linh" de Philippe Claudel;255418636;Book Clubs
41.38988;2.170694;1542650400000;Presentació de La escritura y el poder  d'Andreu Navarra;256205727;Book Clubs
0;0;1542652200000;The Bell Jar by Sylvia Plath;255931711;Book Clubs
41.3783;2.157119;1543053600000;Meetup Literario - Encuentro lectores y escritores;rvwjfqyxpbgc;Book Clubs
None;None;1543158000000;Collapse by Jared Diamond;255970452;Book Clubs
41.397446;2.123407;1543255200000;TALLER DE ESCRITURA CREATIVA.;255933480;Book Clubs
41.386005;2.169415;1543341600000;Fnac Triangle Club de lectura:    "Ubik"  de Philip K. Dick.;255504939;Book Clubs
41.38179;2.163315;1543658400000;Free Book Discussion Club;mlgslqyxqbcb;Book Clubs
