Equipament,Any,ActuacionsEspectacles,AssistentsActuacionsEspectacles,ActivitatsRelacionadesExposicionsMostres,AssistentsActivitatsRelacionadesExposicionsMostres,Xerrades,AssistentsXerrades,TotalActivitatsDifusio,TotalAssistentsActivitatsDifusio,Metres_quadrats,Notes_Dades,Notes_Equipament,Districte,Codi_Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
"Centre Cívic Barceloneta",2016,152,14930,78,3506,21,891,251,19327,1431,,,"01. Ciutat Vella","03. la Barceloneta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380269123,2.192300790
"Centre Cívic Baró de Viver",2016,39,3908,21,495,35,501,95,4904,1535,,,"09. Sant Andreu","58. Baró de Viver",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.448391924,2.199921143
"Centre Cívic Besòs",2016,72,6009,37,883,15,616,124,7508,3858,,,"10. Sant Martí","70. el Besòs i el Maresme",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416306001,2.211478868
"Centre Cívic Bon Pastor",2016,35,3800,18,335,4,340,57,4475,1370,,,"09. Sant Andreu","59. el Bon Pastor",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.434780211,2.204911796
"Centre Cívic Can Basté",2016,79,8502,74,1872,12,937,165,11311,1060,,,"08. Nou Barris","46. el Turó de la Peira",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430458546,2.173212158
"Centre Cívic Can Castelló",2016,18,604,19,187,25,498,62,1289,1200,,,"05. Sarrià-Sant Gervasi","26. Sant Gervasi - Galvany",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.399005576,2.140162970
"Centre Cívic Can Deu",2016,96,5406,33,400,108,1935,237,7741,803,,,"04. Les Corts","19. les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386760961,2.132502076
"Centre Cívic Can Felipa",2016,43,6079,28,1871,78,1101,149,9051,3125,,,"10. Sant Martí","68. el Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404013272,2.201386526
"Centre Cívic Can Verdaguer",2016,90,3501,50,767,17,311,157,4579,990,,,"08. Nou Barris","45. Porta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.433977414,2.179080278
"Centre Cívic Casa del Rellotge",2016,35,3064,22,0,0,0,57,3064,880,,,"03. Sants-Montjuïc","13. la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.357544067,2.141389922
"Centre Cívic Casa Groga",2016,26,3752,13,100,13,184,52,4036,1152,,,"07. Horta-Guinardó","39. Sant Genís dels Agudells",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426863420,2.137450112
"Centre Cívic Casa Orlandai",2016,109,7511,17,248,88,1897,214,9656,1066,,,"05. Sarrià-Sant Gervasi","23. Sarrià",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.398330273,2.124656447
"Centre Cívic Casa Sagnier",2016,29,1514,28,230,32,737,89,2481,1200,,,"05. Sarrià-Sant Gervasi","26. Sant Gervasi - Galvany",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.401875358,2.144515662
"Centre Cívic Convent de Sant Agustí",2016,86,6369,31,703,23,1063,140,8135,1655,,,"01. Ciutat Vella","04. Sant Pere, Santa Caterina i la Ribera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.387391384,2.181711349
"Centre Cívic Cotxeres Borrell",2016,56,4713,21,705,9,69,86,5487,1775,,,"02. Eixample","10. Sant Antoni",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375908694,2.163176076
"Centre Cívic Cotxeres de Sants",2016,156,54107,80,4018,84,13569,320,71694,3167,,,"03. Sants-Montjuïc","18. Sants",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.375264199,2.136876024
"Centre Cívic del Parc - Sandaru",2016,128,7818,33,521,8,248,169,8587,2000,,,"10. Sant Martí","66. el Parc i la Llacuna del Poblenou",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.391718569,2.184755119
"Centre Cívic Drassanes",2016,120,9776,29,844,16,986,165,11606,1074,,,"01. Ciutat Vella","01. el Raval",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377644996,2.172852395
"Centre Cívic El Carmel",2016,24,4629,11,552,0,0,35,5181,1054,,,"07. Horta-Guinardó","37. el Carmel",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.420263994,2.151191237
"Centre Cívic El Coll - La Bruguera",2016,38,6848,25,678,17,274,80,7800,1300,,,"06. Gràcia","29. el Coll",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.418579055,2.149896871
"Centre Cívic El Sortidor",2016,164,10799,7,120,42,863,213,11782,905,,,"03. Sants-Montjuïc","11. el Poble-sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.372066797,2.162531728
"Centre Cívic Font de la Guatlla",2016,10,502,5,161,12,443,27,1106,635,,,"03. Sants-Montjuïc","14. la Font de la Guatlla",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.370560397,2.147508546
"Centre Cívic Fort Pienc",2016,54,6035,36,819,7,260,97,7114,1306,,,"02. Eixample","05. el Fort Pienc",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.395557419,2.182446362
"Centre Cívic Golferichs",2016,35,4176,28,321,107,5305,170,9802,1025,,,"02. Eixample","09. la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.380813341,2.156392101
"Centre Cívic Guinardó",2016,57,2253,59,682,12,206,128,3141,600,,,"07. Horta-Guinardó","35. el Guinardó",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416056397,2.173322891
"Centre Cívic Joan Oliver - Pere Quart",2016,139,8500,29,730,21,475,189,9705,2433,"Fins al mes de juny de 2016 el centre ha estat amb obres d'ampliació.",,"04. Les Corts","20. la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.379302926,2.127757703
"Centre Cívic Josep M. Trias i Peitx - Riera Blanca",2016,86,4979,22,219,39,719,147,5917,800,"Durant el 2016 s'han fet obres d'adequació dels accessos del centre.",,"04. Les Corts","20. la Maternitat i Sant Ramon",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.377780128,2.121762772
"Centre Cívic l'Elèctric",2016,35,1887,21,150,24,299,80,2336,566,,,"05. Sarrià-Sant Gervasi","22. Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.419137960,2.097871834
"Centre Cívic La Cadena",2016,0,0,7,34,0,0,7,34,333,,,"03. Sants-Montjuïc","13. la Marina de Port",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.364156288,2.139067245
"Centre Cívic La Casa Elizalde",2016,129,13609,48,472,32,684,209,14765,1800,,,"02. Eixample","07. la Dreta de Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.394483818,2.165880676
"Centre Cívic La Sagrera",2016,28,2131,17,361,28,568,73,3060,903,,,"09. Sant Andreu","61. la Sagrera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.423942321,2.189139414
"Centre Cívic La Sedeta",2016,136,16769,20,342,20,575,176,17686,1287,,,"06. Gràcia","32. el Camp d'en Grassot i Gràcia Nova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405548940,2.167665468
"Centre Cívic Matas i Ramis",2016,75,5272,40,558,63,2414,178,8244,637,,,"07. Horta-Guinardó","43. Horta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.432755073,2.160711473
"Centre Cívic Navas",2016,65,4256,22,390,56,2057,143,6703,1200,,,"09. Sant Andreu","63. Navas",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416904706,2.184919133
"Centre Cívic Pati Llimona",2016,52,2513,63,4872,126,3317,241,10702,1900,,,"01. Ciutat Vella","02. el Barri Gòtic",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.381635545,2.179176281
"Centre Cívic Pere Pruna",2016,51,3782,31,1013,5,383,87,5178,287,,,"05. Sarrià-Sant Gervasi","25. Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.403181601,2.131302875
"Centre Cívic Sagrada Família",2016,69,6193,29,532,4,92,102,6817,1900,,,"02. Eixample","06. la Sagrada Família",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405380126,2.176760148
"Centre Cívic Sant Andreu",2016,68,4303,31,1118,7,135,106,5556,900,,,"09. Sant Andreu","60. Sant Andreu",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.430852888,2.189400581
"Centre Cívic Sant Martí",2016,164,35003,38,2576,10,2270,212,39849,5470,,,"10. Sant Martí","72. Sant Martí de Provençals",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.416622171,2.198563813
"Centre Cívic Sarrià",2016,68,3706,51,402,59,1338,178,5446,1011,,,"05. Sarrià-Sant Gervasi","23. Sarrià",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.393871979,2.121163587
"Centre Cívic Teixonera",2016,46,3896,18,692,10,107,74,4695,841,,,"07. Horta-Guinardó","38. la Teixonera",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.422637884,2.144554558
"Centre Cívic Tomasa Cuevas - Les Corts",2016,96,4853,17,355,40,4765,153,9973,1603,,,"04. Les Corts","19. les Corts",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.384783744,2.128318397
"Centre Cívic Torre Llobeta",2016,100,6153,55,2165,36,2118,191,10436,738,,,"08. Nou Barris","44. Vilapicina i la Torre Llobeta",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.426896898,2.173951442
"Centre Cívic Trinitat Vella",2016,96,7198,57,2215,28,333,181,9746,750,,,"09. Sant Andreu","57. la Trinitat Vella",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.451618627,2.191189600
"Centre Cívic Urgell",2016,101,15002,17,752,67,6758,185,22512,953,,,"02. Eixample","09. la Nova Esquerra de l'Eixample",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.386861397,2.152032146
"Centre Cívic Vallvidrera Vázquez Montalbán",2016,46,3707,20,262,16,251,82,4220,618,,,"05. Sarrià-Sant Gervasi","22. Vallvidrera, el Tibidabo i les Planes",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.415364217,2.102530794
"Centre Cívic Vil·la Florida",2016,70,3375,22,200,20,578,112,4153,1574,,,"05. Sarrià-Sant Gervasi","25. Sant Gervasi - la Bonanova",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.405337410,2.135294028
"Centre Cívic Zona Nord",2016,201,31244,24,392,1,240,226,31876,2418,,,"08. Nou Barris","55. Ciutat Meridiana",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.461113806,2.177397304
"Centre Cultural Albareda",2016,88,7431,32,695,16,416,136,8542,1473,,,"03. Sants-Montjuïc","11. el Poble-sec",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.373999934,2.173269239
"Centre Cultural la Farinera del Clot",2016,70,6840,19,3666,2,115,91,10621,2634,,,"10. Sant Martí","65. el Clot",Municipal,"Centres cívics","Centres cívics","Multidisciplinaris i altres",41.404913599,2.188442671
