Any,Ambit,Titularitat,Entitat,Latitud,Longitud,Web,TipusEquipament,UsosFuncionals,Equipament,Districte,Concerts,Nota
2016,Música,Privada,"Grup Almodobar",41.4056165,2.1621234,http://www.grupalmodobar.com/almo2bar,"Sales de música en viu","Sales de música en viu",Almo2bar,"06. Gràcia",40,
2016,Música,Privada,"Grup Almodobar",41.4034215,2.1677698,http://www.grupalmodobar.com/almodobar,"Sales de música en viu","Sales de música en viu",Almodobar,"06. Gràcia",26,
2016,Música,Privada,"Sala Apolo",41.374341941,2.169489768,https://www.sala-apolo.com,"Sales de música en viu","Sales de música en viu",Apolo,"03. Sants-Montjuïc",369,
2016,Música,Privada,"Sala Apolo",,,https://www.sala-apolo.com,"Sales de música en viu","Sales de música en viu","Apolo. La [2]","03. Sants-Montjuïc",394,
2016,Música,Privada,"Bikini Barcelona",41.389714424,2.135380995,http://bikinibcn.com,"Sales de música en viu","Sales de música en viu","Bikini Barcelona","04. Les Corts",151,
2016,Música,Privada,"Grup Almodobar",41.4062419,2.1564047,http://www.grupalmodobar.com/continental/,"Sales de música en viu","Sales de música en viu",Continental,"06. Gràcia",65,
2016,Música,Privada,"Dionisos Greek Restaurants",41.3855443,2.185382,https://www.facebook.com/DiobarBcn,"Sales de música en viu","Sales de música en viu",Diobar,"01. Ciutat Vella",158,
2016,Música,Privada,"Zingaria Produccions SL",41.381142750,2.178407934,http://www.harlemjazzclub.es,"Sales de música en viu","Sales de música en viu","Harlem Jazz Club","01. Ciutat Vella",348,
2016,Música,Privada,"Assoc. Cultural Heliogàbal",41.40352,2.16018,http://www.heliogabal.com,"Sales de música en viu","Sales de música en viu",Heliogàbal,"06. Gràcia",86,
2016,Música,Privada,"Grup Mas i Mas",41.379703771,2.175268003,http://www.masimas.com/jamboree,"Sales de música en viu","Sales de música en viu",Jamboree,"01. Ciutat Vella",728,"364 concerts per dos passis."
2016,Música,Privada,"Taller de Músics",41.379806535,2.164072884,http://tallerdemusics.com/jazzsi-club,"Sales de música en viu","Sales de música en viu","Jazz Sí Club","01. Ciutat Vella",348,
2016,Música,Privada,"La Sonora de Gràcia",41.3984803,2.1550105,https://www.facebook.com/lasonoradegracia/,"Sales de música en viu","Sales de música en viu","La Sonora de Gràcia","06. Gràcia",208,
2016,Música,Privada,"Luz de Gas",41.394592939,2.149045108,http://www.luzdegas.com,"Sales de música en viu","Sales de música en viu","Luz de Gas","05. Sarrià-Sant Gervasi",500,
2016,Música,Privada,"Sala Razzmatazz",41.397724772,2.191080074,http://www.salarazzmatazz.com,"Sales de música en viu","Sales de música en viu",Razzmatazz,"10. Sant Martí",290,
2016,Música,Privada,"Paralelos Musicales SL",41.375154356,2.169583037,http://www.barts.cat/,"Sales de música en viu","Sales de música en viu","Sala Barts","01. Ciutat Vella",111,
2016,Música,Privada,"Grupo Déjàvu",41.399440359,2.191159281,http://www.begoodclub.com,"Sales de música en viu","Sales de música en viu","Sala BeGood","10. Sant Martí",25,"Dades d'octubre a desembre de 2016."
2016,Música,Privada,"Sidecar Factory Club",41.380544047,2.175174697,http://www.sidecarfactoryclub.com,"Sales de música en viu","Sales de música en viu","Sidecar Factory Club","01. Ciutat Vella",107,
2016,Música,Privada,"Grup Mas i Mas",41.379703771,2.175268003,http://www.masimas.com/tarantos,"Sales de música en viu","Sales de música en viu",Tarantos,"01. Ciutat Vella",1092,"364 concerts per tres passis."
