,description,start time,place,musice style,price,category
0,PRISM 1st anniversary with Ben Klock,"Saturday, 17 November",INPUT Dance Club,Techno  Tech house, €18.00,Music
1,"NOMADS pres: Sebastien Leger, Hraach, Nick Varon","Saturday, 17 November",Bikini,Deep House  Tech house  House, €10.00,Music
2,B Club - Marco Faraone & Victor Fernandez,"Thursday, 15 November",City Hall,Techno  Tech house, €10.00,Music
3,SIGHT pres. Apollonia & Mahony,"Friday, 16 November",Pacha Barcelona,House  Techno  Tech house,FREE ,Music
4,R33 Barcelona present: Anja Schneider,"Saturday, 17 November",R33 Club,Techno  Minimal  Electronic  Electro, €15.00,Music
5,Blackstone pres. Chelina Manuhutu,"Sunday, 18 November",Opium Barcelona,Electro  House  Dance,FREE ,Music
6,This Side UP w/ Zombies in Miami Live - Moderna  (FREE ALL NIGHT LONG),"Friday, 16 November",This Side UP,Electro  Techno,FREE ,Music
7,Acid Arab @ The Loft & Fuego w/ DL Blando @ Razzclub,"Friday, 16 November",Razzmatazz,Electronic  Techno  House, €15.50,Music
8,LOCKED pres. Modeselektor - Dj Set,"Friday, 16 November",INPUT Dance Club,Techno  Tech house, €15.00,Music
9,SPECTRUM SEQUENCE w/ MOREENO,"Wednesday, 14 November",Garage 442,Electronic  Electro  Funky,FREE ,Music
10,BACK2BLACK - Opening party,"Wednesday, 14 November",Pacha Barcelona,Hip hop  R&B,FREE ,Music
11,Pop That Party - Undeey (Dj Set),"Wednesday, 14 November",Shoko Barcelona,Hip hop  R&B  Reggae - Dancehall,FREE ,Music
12,Mistress,"Wednesday, 14 November",Macarena Club,Techno,FREE ,Music
13,Ladies Night | Every Wednesday,"Wednesday, 14 November",Opium Barcelona,House  Hits  Electronic,FREE ,Music
14,Dj Mastie,"Wednesday, 14 November",Jamboree Dance Club,Hip hop  R&B  Urban,NA,Music
15,El Dirty de Razzmatazz,"Wednesday, 14 November",Razzmatazz,Hits  Dance  Pop, €11.50,Music
16,Reggaeton vs Hip-Hop,"Wednesday, 14 November",City Hall,Deep House  House,FREE ,Music
17,YOLO,"Wednesday, 14 November",Otto Zutz,Hip hop  R&B  Hits,FREE ,Music
18,"I LOVE 89 S "" 80S y 90S Hits""","Wednesday, 14 November",Tarantos Club,Hits  Indie - Rock  Pop, €5.00,Music
19,Chapter Records Showcase: Anika Kunst /Joaquín Ruíz / Motzler,"Wednesday, 14 November",Moog,Techno, €8.00,Music
20,AFTERWORK MUSIC DJ SUNSET. FREE ENTRANCE.,"Thursday, 15 November",OD Barcelona,Deep House,FREE ,Music
21,LA BODA @ Garage442,"Thursday, 15 November",Garage 442,Electronic  Electro  Funky  Deep House,FREE ,Music
22,Pacha-Chá | Every Thursday,"Thursday, 15 November",Pacha Barcelona,Hits  Latin  Reggaeton,FREE ,Music
23,B Club - Marco Faraone & Victor Fernandez,"Thursday, 15 November",City Hall,Techno  Tech house, €10.00,Music
24,Swag City,"Thursday, 15 November",Shoko Barcelona,Reggaeton  R&B  Hip hop,FREE ,Music
25,Funk D'void & Friends,"Thursday, 15 November",Macarena Club,Techno,FREE ,Music
26,#Wild | Every Thursday,"Thursday, 15 November",Opium Barcelona,Electro  House  Dance,FREE ,Music
27,Obsession | Every Thursday,"Thursday, 15 November",Bling Bling,House  Hits,FREE ,Music
28,Bcn Or Die | Every Thursday,"Thursday, 15 November",Jamboree Dance Club,Hip hop  R&B,FREE ,Music
29,Mandanga de Razzmatazz,"Thursday, 15 November",Razzmatazz,Hits  Dance  Pop, €7.50,Music
30,Crazy | Every Thursday,"Thursday, 15 November",Catwalk,Hip hop  R&B  Urban,FREE ,Music
31,Late Check Out | Thursday,"Thursday, 15 November",Otto Zutz,Hip hop  R&B  Reggaeton,FREE ,Music
32,Bcn or Die,"Thursday, 15 November",Tarantos Club,Indie - Rock  R&B  Pop, €5.00,Music
33,La Gozadera - Fiesta Latina #FREE,"Thursday, 15 November",La Fira Provença,Latin  Reggaeton  Hits,FREE ,Music
34,Moog Djs: Gus Van Sound,"Thursday, 15 November",Moog,Techno, €5.00,Music
35,JMII (Hivern Discs) @ Garage442,"Friday, 16 November",Garage 442,Electronic  Electro  Deep House  Nu-Disco,FREE ,Music
36,SIGHT pres. Apollonia & Mahony,"Friday, 16 November",Pacha Barcelona,House  Techno  Tech house,FREE ,Music
37,LOCKED pres. Modeselektor - Dj Set,"Friday, 16 November",INPUT Dance Club,Techno  Tech house, €15.00,Music
38,Acid Arab @ The Loft & Fuego w/ DL Blando @ Razzclub,"Friday, 16 November",Razzmatazz,Electronic  Techno  House, €15.50,Music
